,max_depth,max_samples,n_estimators,loss,trial_number
0,8,0.648569854008818,180,-0.9934460120665526,0
1,8,0.603052131072937,180,-0.9934557897950435,1
2,12,0.8831229267410892,180,-0.9932975153300126,2
3,8,0.4469832125776877,190,-0.9935241574362088,3
4,19,0.27781882156888404,160,-0.9935723344717697,4
5,15,0.5777552142342087,160,-0.9933734469433005,5
6,8,0.8929792431143188,170,-0.993370899269737,6
7,9,0.6454622075352245,190,-0.9935160037936025,7
8,17,0.883340403598422,220,-0.9931741368352835,8
9,10,0.441440891600684,170,-0.9935808260633702,9
10,12,0.5149483766566731,180,-0.993475768624114,10
11,19,0.11961310231904419,200,-0.9935908468348362,11
12,8,0.11108170757861827,250,-0.9935473431170168,12
13,20,0.23246521445872084,220,-0.9935990893553963,13
14,13,0.3889734449915836,180,-0.9935327045090824,14
15,19,0.7575371296220914,220,-0.9932384160457823,15
16,11,0.2093089329357934,170,-0.9936499318198159,16
17,19,0.6499503324786995,150,-0.9932934276876751,17
18,10,0.8997129507659376,190,-0.9934355889109164,18
19,19,0.5844762281127655,190,-0.9933525496994172,19
20,11,0.22591478352782218,210,-0.9936313839178872,20
21,11,0.2183761108033522,210,-0.993628781441002,21
22,11,0.17815316813949766,240,-0.9936281145590597,22
23,14,0.3231659540494227,230,-0.9935745039357986,23
24,11,0.3087790529896151,210,-0.9935963519207415,24
25,18,0.1618466092030581,170,-0.9935974793582637,25
26,16,0.3637509648385583,210,-0.9935353711360251,26
27,11,0.21402826994167995,230,-0.9936407666743603,27
28,11,0.10208372560664929,230,-0.993599677249229,28
29,11,0.1668009516543097,230,-0.993665147293116,29
30,15,0.15665709722592447,150,-0.9935875580134016,30
31,17,0.2749358703594945,230,-0.9936147879994461,31
32,20,0.8119575202788549,240,-0.9931922784579496,32
33,14,0.4247903170536068,250,-0.9935134183584703,33
34,9,0.35083728306283035,170,-0.9936183218005046,34
